Name,img,description
1st Generation Collegiate & Proud Student Association,https://se-infra-imageserver2.azureedge.net/clink/images/d8ac8297-e21b-481d-bb4c-45148eba8dd3c6f3568e-63fd-498a-97bc-d72e5befc2d2.jpg?preset=med-sq,"As first generation college students, we strive to make the transition from high school, freshmen and transfer students to college a smooth and informed experience. We will provide support throughout their Chico experience through collaboration with the office of Diversity and Inclusion and campus stakeholders. We will provide opportunities for our members to make their futures successful through professional development workshops, panel discussions, and retention of first generation students through mentorship and real world experiences. Every CSUC student is welcome to join, especially any student currently enrolled at CSU, Chico who identifies as 1st Generation. Note: You are a 1st generation college student if neither of your parent has completed a four-year university degree. The club will prohibit illegal discrimination based on age, race, religion, color, national origin, gender, sexual orientation, gender identity and/or gender expression, marital or veteran status, and physical or mental impairment."
Academic Advising,https://se-infra-imageserver2.azureedge.net/clink/images/ab496f0e-6267-4b35-9450-c6af66e417b115594a07-664d-4f18-b70e-1d5b2beda2ea.jpg?preset=med-sq,"""The mission of Academic Advising Programs at California State University, Chico is to provide an integrated array of effective academic advising services as well as resources and planning tools for students. This integrated program will assist undergraduate and certain postgraduate students to make a successful transition to, and establish their place in, university life; to take responsibility for learning how to set academic, career, and personal goals, and the strategies for achieving them; and to graduate in a timely manner, successfully meeting all requirements. Integral to our mission is providing our staff with the training needed to adapt readily to the changing environment of our university workplace and the advising profession. The unit’s primary activities are established in order to fulfill this mission, which is central to the University’s Strategic Priority #1: ""Believing in the primacy of student learning, we will continue to develop high-quality learning environments both inside and outside of the classroom."""
Accounting Society,https://se-infra-imageserver2.azureedge.net/clink/images/97f8ab6e-5647-41fb-9aa2-41d1a458bf894ccfb525-75ef-472a-999c-31c75c6b438f.jpg?preset=med-sq,Accounting Society connects students to professionals in the accounting field through technical meetings and networking events.
Adventure Outings,https://se-infra-imageserver2.azureedge.net/clink/images/1bfb4810-5686-4f6a-a80f-ec02d4cb0dac98de70f3-e5d0-4159-bd9b-1b71fd942580.jpg?preset=med-sq,"Adventure Outings (AO) is an outdoor recreation program that connects the Chico State community to the outdoors of Northern California and beyond. AO is staffed by 30 student trip leaders and 2 career staff. AO offers a variety of trips in outdoor pursuits including rafting, kayaking, hiking, backpacking, skiing, rock climbing, snowshoeing, caving, mountaineering, and more. AO also offers outdoor trips designed specifically for incoming Chico State students through the Wildcat Wilderness Orientation program. In addition to adventure-based outings, AO hosts the annual Banff Mountain Film Festival World Tour, offers a backcountry yurt, oversees the Bike Cart bicycle repair service, and operates an equipment rental center designed to outfit users with equipment for both AO and personal experiences. AO also operates the climbing gym in the Wildcat Recreation center which is open for general climbing, bouldering, and regularly-scheduled belay classes."
Alpha Delta Pi,https://se-infra-imageserver2.azureedge.net/clink/images/6c3479e8-287b-49ac-a0ff-8f79ff44d116ce61552c-0f3c-4c75-9b6d-5795561a4692.png?preset=med-sq,"The Eta Rho Chapter of Alpha Delta Pi was founded in 1990 in Chico, California. In four short years Eta Rho was able to find a home, located on beautiful 325 Chestnut Street. Our cozy house has 10 bedrooms, 9 bathrooms and houses 20 active members. Since 1990, the women of Eta Rho have never stopped shining. Alpha Delta Pi was founded in 1851 at Wesleyan Female College in Macon, GA. It holds the distinction of being the first secret society in the world for college women. Across the nation Alpha Delta Pi women are known for being respectable, bright, fun and classy women who share an unforgettable bond of sisterhood. The principles of scholarship, leadership, sisterhood, and service guide over 215,000 women in more than 140 active collegiate chapters and over 150 alumnae associations of Alpha Delta Pi."
Alpha Epsilon Pi,https://se-infra-imageserver2.azureedge.net/clink/images/bf3afef1-4986-41cb-b3e8-da7e3865f8115ba1b7d9-aa3b-4ff8-a78f-b7654d08d446.jpg?preset=med-sq,"We are Alpha Epsilon Pi, the International Jewish Fraternity! Our motto is ""developing leaders for the Jewish community."" Alpha Epsilon Pi was founded to provide opportunities for the Jewish college man seeking the best possible college and fraternity experience. We have maintained the integrity of our purpose by strengthening our ties to the Jewish community, and serving as a link between high school and career."
Alpha Gamma Delta,https://se-infra-imageserver2.azureedge.net/clink/images/a40c075f-93a7-4d02-9da4-0c4b23ff621790e092f6-f687-45e6-974f-ca9f569bc62b.png?preset=med-sq,"Alpha Gamma Delta is an international women's fraternity that promotes academic excellence, philanthropic giving, ongoing leadership and personal development and above all, a spirit of loving sisterhood. Guided by our Purpose, Alpha Gamma Deltas strive to attain a higher standard, thereby improving their lives, the lives of those around them, and the communities in which they live. Together, we continually work to: Inspire the Woman. Impact the World."
Alpha Gamma Rho,https://se-infra-imageserver2.azureedge.net/clink/images/70b86549-82c4-4989-9c04-19214e15869d316d234b-1a7e-48eb-aa9f-9886573c440f.png?preset=med-sq,Professional Agricultural Fraternity
Alpha Omicron Pi,https://se-infra-imageserver2.azureedge.net/clink/images/ddb10458-2016-4cc2-8d3c-22b61d9197b646f8ec68-a2cf-4148-9126-dd3bb241299e.png?preset=med-sq,"The first chapter of Alpha Omicron Pi was founded at Barnard College in New York City on January 2, 1897. Four amazing women: Stella George Stern (Perry), Jessie Wallace Hughan, Helen St. Clair (Mullan) and Elizabeth Heywood Wyman came together to leave a legacy of friendship, scholarship, and service. Founder Stella Perry once wrote, “that which makes our bond is promise certain of success. Let us follow our ensign devotedly, utterly and bravely. For our purpose cannot fail.” The Mission Statement of AOII is ""Women Enriched through Lifelong Friendship."" The Zeta Theta chapter of Alpha Omicron Pi is the 202nd chapter and received our charter on May 3, 2014. We are excited to continue the development of this sisterhood and to uphold our values of service, scholarship, and leadership."
Alpha Phi,https://se-infra-imageserver2.azureedge.net/clink/images/bf83097b-2646-47dd-98b4-491b267ccaa7fda840df-a70f-426b-8fa6-a678fca70df3.jpg?preset=med-sq,"Alpha Phi is a sisterhood of outstanding women supporting one another in lifelong achievement. The sisterhood of Alpha Phi stretches from coast to coast through 172 collegiate campuses. Sisters share a commitment to excellence and a strong desire to help one another and their communities. Alpha Phis are leaders, scholars, contributors and lifetime members of a sisterhood that values these traits. Alpha Phi assists college women in making informed choices to reach their highest potential. Alpha Phi enhances and promotes each member's development and learning by focusing on sisterhood, service, scholarship, leadership, loyalty and character development."
Alpha Sigma Phi,https://se-infra-imageserver2.azureedge.net/clink/images/25d65e42-b2ed-4192-9b54-c9015310ba68b4d61d54-1250-401e-b6ba-e7a7c7a62a8f.jpg?preset=med-sq,"Alpha Sigma Phi is dedicated to bettering the man, academically, socially, personally, and professionally. We are a group that strives to break down the stereotypes and negative connotations associated with Greek Life by being the utmost Gentleman at all times and living our values of Silence, Charity, Purity, Honor and Patriotism. We seek no recognition nor praise for our efforts as honor is its own reward and humble reverence speaks louder than boisterous bragging."
Alpha Zeta Eta,https://se-infra-imageserver2.azureedge.net/clink/images/d0479e3a-5070-4b3e-bb10-24485f664d232e7bc404-9e14-4bba-8a90-1a77d4885cc0.jpg?preset=med-sq,"Alpha Zeta is a professional, service and honorary fraternity for men and women in agriculture. The Fraternity was founded in 1897 at Ohio State University, and it was the first fraternity to recognize agriculture as a legitimate major. Alpha Zeta, like agriculture, incorporates business, communications, education, engineering, medicine, natural resources and science. Alpha Zeta has grown to more than 100,000 members around the world. It has nearly 80 chapters and alumni associations in the continental United States and Puerto Rico. Selected for scholarship, leadership and character, members are recognized as professionals and leaders in agriculture. Bankers, doctors, educators, executives, farmers, foresters, governors, journalists, managers, ranchers and scientists make up Alpha Zeta’s membership. Academic excellence is paramount, yet chapters and members are encouraged to be active in the community and on campus through Alpha Zeta service projects, campus and community events and participation and leadership in other organizations. A special fraternal bond ties together members of alpha Zeta. Chapters are expected to gather socially, not simply to conduct Alpha Zeta business. Many chapters will have informal and formal social events, in addition to filling a role as an honor society."
American Assembly for Men in Nursing,https://se-infra-imageserver2.azureedge.net/clink/images/e562d17b-7d69-4a4c-9717-f064148e8b5c14a37388-816b-4319-8b02-4377eaa5e76b.jpg?preset=med-sq,"AAMN is an organization that promotes diversity in nursing through community service, public health education, and information on diversity within nursing as a career. "
American Concrete Institute - Student Chapter,https://se-infra-imageserver2.azureedge.net/clink/images/da4ea3be-325d-4a68-8225-fc23a49c9691102734e1-0c7e-42ac-b2c6-d87f7809797d.jpg?preset=med-sq,"One of our main goals is to inspire and activate its members through student interactions with faculty, professionals, and civic leaders, as well as projects that will promote logical thinking. We want to encourage student interest in the study of concrete and to develop an awareness of ACI, ACI chapters, and consensus procedures by which ACI operates. We have direct affiliation with the Northern California and Western Nevada ACI Chapter and the national chapter of ACI."
American Marketing Association | Chico,https://se-infra-imageserver2.azureedge.net/clink/images/bb3f9ee1-682a-455c-91a7-45657314fda0b9a484fa-f14b-4c46-b1c1-826a741d2361.jpg?preset=med-sq,"We provide students with hands-on marketing experience and valuable connections to recruiters and job opportunities. While fostering networks, AMA | Chico members collaborate effectively and grow as marketing professionals. Building marketing knowledge, creativity, and business skills through competitions and meetings is a passion that is instilled in each and every member of our chapter. Working hand-in-hand with California State University, Chico we work rigorously to help students gain the knowledge and tools they will need to succeed in today's world. "
American Society of Mechanical Engineers,https://se-infra-imageserver2.azureedge.net/clink/images/80e8c695-6f69-4aeb-8c71-834ae76ad946da5f817c-c7fa-49d4-92ff-f27cef527a44.jpg?preset=med-sq,"Some people say the glass is half full. Some people say the glass is half empty. We say the glass is twice as big as it needs to be. If you agree, you might be an engineer. In short, this is a networking, social, and support group for mechanical engineering majors. The American Society of Mechanical Engineers concerns itself with lofty goals like promoting science, training, and setting industry standards, however we will focus more on local and student-relevant topics like tours at facilities that employ MEs such as breweries and foundries, and national employers such as Lockheed Martin. We will also be hosting talks from professionals in the industry to learn what their jobs are like, and how to best find our path to a career. All of our meetings are free and open to all majors, and your first visit is half-off. Measure with mics, mark with chalk, cut with torch, grind to fit, sand to finish, paint to match."
Anthropology Graduate Student Association,https://se-infra-imageserver2.azureedge.net/clink/images/3013bf7a-3351-44bc-afc8-47b04046f64e7c1008ff-d82c-4fa1-986f-858c2e0c218d.jpg?preset=med-sq,"AGSA serves to promote graduate student interactions within the club, as well as within the Anthropology Department and the community as a whole. We are a graduate student-run organization representing all subfields of anthropology."
Art Education Club,https://se-infra-imageserver2.azureedge.net/clink/images/dcce971c-5972-425c-8bdd-1096ef84cbfb72d5a1f9-9cc8-45b5-ac38-a69ab06a423e.jpg?preset=med-sq,The ArtEd student club was initiated in 2007 as a student chapter who were encouraged to actively participate in CAEA (California Art Education Association)  conference every fall and others including NAEA (National Art Education Association) conference. . Since then ArtED majors have been actively working together in the development of ArtEd related events and projects. One of the main projects is the annual juried art education show that is implemented at the end of academic year (April to May) at BMU 3rd gallery under the supervision of the board members of ArtEd student club. The board members are nominated and selected every academic year by the previous board members and also the ArtEd student club adviser.
Art History Collective,https://se-infra-imageserver2.azureedge.net/clink/images/9507c110-8702-4520-a29e-4e56facfd32ee4083bbf-209f-4329-990c-16208b63bc5a.jpg?preset=med-sq,"The Art History Collective seeks to bring students from the California State University, Chico community together into an environment that allows students to engage with Art History outside of the classroom setting both on campus and in the larger local and global communities. To promote discussion, engagement, and to supplement the Art History Department with professional development within the field of Art History."
AS Child Development Lab,https://se-infra-imageserver2.azureedge.net/clink/images/c02a1ae8-f01c-49b6-8ec7-2a422505e5fd5a8de39c-12b9-438f-95b4-31aac12e7ed5.png?preset=med-sq,"The Associated Students Child Development Lab (ASCDL) provides low-cost, high quality child care and development services to the children of students, thereby enabling parents to attend CSU, Chico.The ASCDL serves infants from eight weeks old through pre-kindergarten aged children. The program maintains a partnership with the Child Development Program and is the official lab site for CSU,Chico. Students are able to enhance their educational experience and knowledge through direct experience, observation, testing and research. A state-of-the art Infant Observation booth provides students another opportunity to observe the development of young children. ASCDL Staff are also active in the community serving as Professional Growth Advisors,making presentations, and participating on councils and boards that address the needs of children"
AS Government Affairs,https://se-infra-imageserver2.azureedge.net/clink/images/7da67b71-6f5e-48bf-986d-9a8e015efd32bb396ef1-c716-4de1-924d-0d710e860b9e.JPG?preset=med-sq,"Government Affairs is the official seat of student governance for California State University, Chico. It is comprised of elected students, staff and volunteers who represent and advocate on behalf of the student body. Its collective of boards, committees and councils provides support and services to a wide spectrum of the student population and allows for the development of leadership abilities, program development skills and management experience."
