Name,img,description
b'1st Generation Collegiate & Proud Student Association',https://se-infra-imageserver2.azureedge.net/clink/images/d8ac8297-e21b-481d-bb4c-45148eba8dd3c6f3568e-63fd-498a-97bc-d72e5befc2d2.jpg?preset=med-sq,"b'As first generation college students, we strive to make the transition from high school, freshmen and transfer students to college a smooth and informed experience. We will provide support throughout their Chico experience through collaboration with the office of Diversity and Inclusion and campus stakeholders. We will provide opportunities for our members to make their futures successful through professional development workshops, panel discussions, and retention of first generation students through mentorship and real world experiences. Every CSUC student is welcome to join, especially any student currently enrolled at CSU, Chico who identifies as 1st Generation. Note: You are a 1st generation college student if neither of your parent has completed a four-year university degree. The club will prohibit illegal discrimination based on age, race, religion, color, national origin, gender, sexual orientation, gender identity and/or gender expression, marital or veteran status, and physical or mental impairment.'"
b'Academic Advising',https://se-infra-imageserver2.azureedge.net/clink/images/ab496f0e-6267-4b35-9450-c6af66e417b115594a07-664d-4f18-b70e-1d5b2beda2ea.jpg?preset=med-sq,"b'""The mission of Academic Advising Programs at California State University, Chico is to provide an integrated array of effective academic advising services as well as resources and planning tools for students. This integrated program will assist undergraduate and certain postgraduate students to make a successful transition to, and establish their place in, university life; to take responsibility for learning how to set academic, career, and personal goals, and the strategies for achieving them; and to graduate in a timely manner, successfully meeting all requirements. Integral to our mission is providing our staff with the training needed to adapt readily to the changing environment of our university workplace and the advising profession. The unit\xe2\x80\x99s primary activities are established in order to fulfill this mission, which is central to the University\xe2\x80\x99s Strategic Priority #1: ""Believing in the primacy of student learning, we will continue to develop high-quality learning environments both inside and outside of the classroom.""'"
b'Accounting Society',https://se-infra-imageserver2.azureedge.net/clink/images/97f8ab6e-5647-41fb-9aa2-41d1a458bf894ccfb525-75ef-472a-999c-31c75c6b438f.jpg?preset=med-sq,b'Accounting Society connects students to professionals in the accounting field through technical meetings and networking events.'
b'Adventure Outings',https://se-infra-imageserver2.azureedge.net/clink/images/1bfb4810-5686-4f6a-a80f-ec02d4cb0dac98de70f3-e5d0-4159-bd9b-1b71fd942580.jpg?preset=med-sq,"b'A program of the Associated Students of CSU, Chico, Adventure Outings (AO) is a comprehensive outdoor recreation program that connects the Chico State community to the outdoors of Northern California and beyond. AO offers a variety of trips in outdoor pursuits including rafting, kayaking, hiking, backpacking, skiing, rock climbing, snowshoeing, caving, mountaineering, and more. AO also offers outdoor trips designed specifically for incoming Chico State students through the Wildcat Wilderness Orientation program. In addition to adventure-based outings, AO hosts the annual Banff Mountain Film Festival World Tour, offers a backcountry yurt, oversees the Bike Cart bicycle repair service, and operates an equipment rental center designed to outfit users with equipment for both AO trips and personal experiences. AO also operates the Wildcat Recreation Center (WREC) Climbing Gym which is open for general climbing, bouldering, and regularly-scheduled belay classes.'"
b'AIGA Chico',https://se-infra-imageserver2.azureedge.net/clink/images/154c0ab4-81fd-4278-9072-7e85559f85f9f9939720-f731-443e-9dd0-b719c22f4b71.png?preset=med-sq,"b'Founded in 1914 as the American Institute of Graphic Arts, AIGA remains the oldest and largest professional membership organization for design and is now known simply as \xe2\x80\x9cAIGA, the professional association for design.\xe2\x80\x9d As an AIGA student group we strive to learn all we can about design and the design world around us.'"
b'Alpha Delta Pi',https://se-infra-imageserver2.azureedge.net/clink/images/6c3479e8-287b-49ac-a0ff-8f79ff44d116ce61552c-0f3c-4c75-9b6d-5795561a4692.png?preset=med-sq,"b'The Eta Rho Chapter of Alpha Delta Pi was founded in 1990 in Chico, California. In four short years Eta Rho was able to find a home, located on beautiful 325 Chestnut Street. Our cozy house has 10 bedrooms, 9 bathrooms and houses 20 active members. Since 1990, the women of Eta Rho have never stopped shining. Alpha Delta Pi was founded in 1851 at Wesleyan Female College in Macon, GA. It holds the distinction of being the first secret society in the world for college women. Across the nation Alpha Delta Pi women are known for being respectable, bright, fun and classy women who share an unforgettable bond of sisterhood. The principles of scholarship, leadership, sisterhood, and service guide over 215,000 women in more than 140 active collegiate chapters and over 150 alumnae associations of Alpha Delta Pi.'"
b'Alpha Epsilon Pi',https://se-infra-imageserver2.azureedge.net/clink/images/bf3afef1-4986-41cb-b3e8-da7e3865f8115ba1b7d9-aa3b-4ff8-a78f-b7654d08d446.jpg?preset=med-sq,"b'We are Alpha Epsilon Pi, the International Jewish Fraternity! Our motto is ""developing leaders for the Jewish community."" Alpha Epsilon Pi was founded to provide opportunities for the Jewish college man seeking the best possible college and fraternity experience. We have maintained the integrity of our purpose by strengthening our ties to the Jewish community, and serving as a link between high school and career.'"
b'Alpha Gamma Delta',https://se-infra-imageserver2.azureedge.net/clink/images/a40c075f-93a7-4d02-9da4-0c4b23ff621790e092f6-f687-45e6-974f-ca9f569bc62b.png?preset=med-sq,"b""Alpha Gamma Delta is an international women's fraternity that promotes academic excellence, philanthropic giving, ongoing leadership and personal development and above all, a spirit of loving sisterhood. Guided by our Purpose, Alpha Gamma Deltas strive to attain a higher standard, thereby improving their lives, the lives of those around them, and the communities in which they live. Together, we continually work to: Inspire the Woman. Impact the World."""
b'Alpha Gamma Rho',https://se-infra-imageserver2.azureedge.net/clink/images/5d3e6df7-3a03-4d6e-9d41-9769c5997c1bfa7845cc-6669-4617-ba5e-3043eaaadf9a.jpeg?preset=med-sq,b'Professional & Social Agricultural Fraternity'
b'Alpha Omicron Pi',https://se-infra-imageserver2.azureedge.net/clink/images/ddb10458-2016-4cc2-8d3c-22b61d9197b646f8ec68-a2cf-4148-9126-dd3bb241299e.png?preset=med-sq,"b'The first chapter of Alpha Omicron Pi was founded at Barnard College in New York City on January 2, 1897. Four amazing women: Stella George Stern (Perry), Jessie Wallace Hughan, Helen St. Clair (Mullan) and Elizabeth Heywood Wyman came together to leave a legacy of friendship, scholarship, and service. Founder Stella Perry once wrote, \xe2\x80\x9cthat which makes our bond is promise certain of success. Let us follow our ensign devotedly, utterly and bravely. For our purpose cannot fail.\xe2\x80\x9d The Mission Statement of AOII is ""Women Enriched through Lifelong Friendship."" The Zeta Theta chapter of Alpha Omicron Pi is the 202nd chapter and received our charter on May 3, 2014. We are excited to continue the development of this sisterhood and to uphold our values of service, scholarship, and leadership.'"
